artist,uri
Tom Petty and the Heartbreakers,spotify:artist:4tX2TplrkIP4v05BNC903e
Led Zeppelin,spotify:artist:36QJpDe2go2KgaRleHCDTp
David Bowie,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy
Nine Inch Nails,spotify:artist:0X380XXQSNBYuleKzav5UO
Alice In Chains,spotify:artist:64tNsm6TnZe2zpcMVMOoHL
Nirvana,spotify:artist:6olE6TJLqED3rqDCT0FyPh
Megadeth,spotify:artist:1Yox196W7bzVNZI7RBaPnf
Metallica,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB
The Dillinger Escape Plan,spotify:artist:7IGcjaMGAtsvKBLQX26W4i
Slipknot,spotify:artist:05fG473iIaoy82BF1aGhL8
